symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,num_doors,num_cylinders,engine_size_cc,power2weight_ratio,vehicle_volume,engine_power_density,fuel_efficiency,performance_index,engine_performance
2,164.0,0,1,0,0,3,1,0,99.8,176.6,66.2,54.3,2337,1,2,109,4,12,20,10.0,102,15,24,30,13950.0,4,4,1786,0.043645699614890884,634816.956,0.9357798165137615,27.0,240.05134788189986,255.0
2,164.0,0,1,0,0,3,0,0,99.4,176.6,66.4,54.3,2824,1,1,136,4,12,20,8.0,115,15,18,22,17450.0,4,5,2228,0.04072237960339943,636734.8319999999,0.8455882352941176,20.0,223.97308781869688,184.0
2,161.0,0,1,0,1,3,1,0,99.8,177.3,66.3,53.1,2507,1,1,136,4,12,20,8.5,110,15,19,25,15250.0,2,5,2228,0.043877143996808934,624189.969,0.8088235294117647,22.0,241.32429198244915,187.0
1,158.0,0,1,0,0,3,1,0,105.8,192.7,71.4,55.7,2844,1,1,136,4,12,20,8.5,110,15,19,25,17710.0,4,5,2228,0.03867791842475387,766364.0460000001,0.8088235294117647,22.0,212.72855133614627,187.0
1,161.0,0,1,0,0,4,1,0,105.8,192.7,71.4,55.7,2954,1,1,136,4,12,20,8.5,110,15,19,25,18920.0,4,5,2228,0.037237643872714964,766364.0460000001,0.8088235294117647,22.0,204.8070412999323,187.0
1,158.0,0,1,1,0,3,1,0,105.8,192.7,71.4,55.9,3086,1,1,131,4,9,20,8.3,140,15,17,20,23875.0,4,5,2146,0.04536616979909268,769115.802,1.0687022900763359,18.5,249.51393389500973,232.4
0,161.0,0,1,1,1,2,0,0,99.5,178.2,67.9,52.0,3053,1,1,131,4,9,20,7.0,160,15,16,22,17859.166666666668,2,5,2146,0.05240746806419915,629188.56,1.2213740458015268,19.0,288.2410743530953,224.0
2,192.0,1,1,0,1,3,2,0,101.2,176.8,64.8,54.3,2395,1,2,108,4,22,4,8.8,101,17,23,29,16430.0,2,4,1769,0.042171189979123176,622095.5519999999,0.9351851851851852,26.0,244.5929018789144,222.20000000000002
0,192.0,1,1,0,0,3,2,0,101.2,176.8,64.8,54.3,2395,1,2,108,4,22,4,8.8,101,17,23,29,16925.0,4,4,1769,0.042171189979123176,622095.5519999999,0.9351851851851852,26.0,244.5929018789144,222.20000000000002
0,188.0,1,1,0,1,3,2,0,101.2,176.8,64.8,54.3,2710,1,3,164,4,15,13,9.0,121,2,21,28,20970.0,2,6,2687,0.044649446494464944,622095.5519999999,0.7378048780487805,24.5,189.760147601476,181.5
0,188.0,1,1,0,0,3,2,0,101.2,176.8,64.8,54.3,2765,1,3,164,4,15,13,9.0,121,2,21,28,21105.0,4,6,2687,0.04376130198915009,622095.5519999999,0.7378048780487805,24.5,185.98553345388788,181.5
1,190.0,1,1,0,0,3,2,0,103.5,189.0,66.9,55.7,3055,1,3,164,4,15,13,9.0,121,2,20,25,24565.0,4,6,2687,0.03960720130932897,704276.3700000001,0.7378048780487805,22.5,168.33060556464812,181.5
0,190.0,1,1,0,0,3,2,0,103.5,189.0,66.9,55.7,3230,1,3,209,4,28,19,8.0,182,14,16,22,30760.0,4,6,3424,0.056346749226006194,704276.3700000001,0.8708133971291866,19.0,304.27244582043346,242.66666666666666
0,190.0,1,1,0,1,3,2,0,103.5,193.8,67.9,53.7,3380,1,3,209,4,28,19,8.0,182,14,16,22,41315.0,2,6,3424,0.05384615384615385,706639.3740000002,0.8708133971291866,19.0,290.7692307692308,242.66666666666666
0,190.0,1,1,0,0,3,2,0,110.0,197.0,70.9,56.3,3505,1,3,209,4,28,19,8.0,182,14,15,20,36880.0,4,6,3424,0.051925820256776035,786358.99,0.8708133971291866,17.5,280.3994293865906,242.66666666666666
2,121.0,2,1,0,1,2,1,0,88.4,141.1,60.3,53.2,1488,1,4,61,1,1,6,9.5,48,10,47,53,5151.0,2,3,999,0.03225806451612903,452643.156,0.7868852459016393,50.0,164.51612903225808,152.0
1,98.0,2,1,0,1,2,1,0,94.5,155.9,63.6,52.0,1874,1,2,90,1,6,10,9.6,70,14,38,43,6295.0,2,4,1474,0.03735325506937033,515592.48,0.7777777777777778,40.5,201.7075773745998,168.0
0,81.0,2,1,0,0,3,1,0,94.5,158.8,63.6,52.0,1909,1,2,90,1,6,10,9.6,70,14,38,43,6575.0,4,4,1474,0.03666841278156103,525183.36,0.7777777777777778,40.5,198.00942902042954,168.0
1,118.0,3,1,0,1,2,1,0,93.7,157.3,63.8,50.8,1876,1,2,90,1,3,15,9.41,68,15,37,41,5572.0,2,4,1474,0.03624733475479744,509815.59199999995,0.7555555555555555,39.0,199.36034115138594,159.97
1,118.0,3,1,0,1,2,1,0,93.7,157.3,63.8,50.8,1876,1,2,90,1,3,15,9.4,68,15,31,38,6377.0,2,4,1474,0.03624733475479744,509815.59199999995,0.7555555555555555,34.5,199.36034115138594,159.8
1,118.0,3,1,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,1,2,98,4,6,19,7.6,102,15,24,30,7957.0,2,4,1605,0.047932330827067667,509815.59199999995,1.0408163265306123,27.0,263.6278195488722,193.79999999999998
1,148.0,3,1,0,0,2,1,0,93.7,157.3,63.8,50.6,1967,1,2,90,1,3,15,9.4,68,15,31,38,6229.0,4,4,1474,0.03457041179461108,507808.444,0.7555555555555555,34.5,190.13726487036095,159.8
1,148.0,3,1,0,0,3,1,0,93.7,157.3,63.8,50.6,1989,1,2,90,1,3,15,9.4,68,15,31,38,6692.0,4,4,1474,0.03418803418803419,507808.444,0.7555555555555555,34.5,188.03418803418805,159.8
1,148.0,3,1,0,0,3,1,0,93.7,157.3,63.8,50.6,1989,1,2,90,1,3,15,9.4,68,15,31,38,7609.0,4,4,1474,0.03418803418803419,507808.444,0.7555555555555555,34.5,188.03418803418805,159.8
-1,110.0,3,1,0,0,4,1,0,103.3,174.6,64.6,59.8,2535,1,2,122,1,17,22,8.5,88,9,24,30,8921.0,4,4,1999,0.03471400394477318,674493.7679999998,0.7213114754098361,27.0,173.57001972386587,187.0
3,145.0,3,1,1,1,2,1,0,95.9,173.2,66.3,50.2,2811,1,2,156,3,26,30,7.0,145,9,19,24,12964.0,2,4,2556,0.05158306652436855,576454.632,0.9294871794871795,21.5,257.91533262184277,253.75
2,137.0,4,1,0,1,2,1,0,86.6,144.6,63.9,50.8,1713,1,2,92,0,1,21,9.6,58,7,49,54,6479.0,2,4,1507,0.033858727378867484,469388.95199999993,0.6304347826086957,51.5,162.5218914185639,139.2
2,137.0,4,1,0,1,2,1,0,86.6,144.6,63.9,50.8,1819,1,2,92,0,1,21,9.2,76,18,31,38,6855.0,2,4,1507,0.04178119846069269,469388.95199999993,0.8260869565217391,34.5,250.68719076415613,174.79999999999998
1,101.0,4,1,0,1,2,1,0,93.7,150.0,64.0,52.6,1837,1,2,79,0,1,7,10.1,60,15,38,42,5399.0,2,4,1294,0.0326619488296135,504960.0,0.759493670886076,40.0,179.64071856287424,151.5
1,101.0,4,1,0,1,2,1,0,93.7,150.0,64.0,52.6,1940,1,2,92,0,1,21,9.2,76,18,30,34,6529.0,2,4,1507,0.03917525773195876,504960.0,0.8260869565217391,32.0,235.05154639175257,174.79999999999998
1,101.0,4,1,0,1,2,1,0,93.7,150.0,64.0,52.6,1956,1,2,92,0,1,21,9.2,76,18,30,34,7129.0,2,4,1507,0.03885480572597137,504960.0,0.8260869565217391,32.0,233.12883435582822,174.79999999999998
0,110.0,4,1,0,0,3,1,0,96.5,163.4,64.0,54.5,2010,1,2,92,0,1,21,9.2,76,18,30,34,7295.0,4,4,1507,0.03781094527363184,569939.2000000001,0.8260869565217391,32.0,226.86567164179104,174.79999999999998
0,78.0,4,1,0,0,4,1,0,96.5,157.1,63.9,58.3,2024,1,2,92,0,2,21,9.2,76,18,30,34,7295.0,4,4,1507,0.037549407114624504,585255.6269999999,0.8260869565217391,32.0,225.29644268774703,174.79999999999998
0,106.0,4,1,0,1,2,1,0,96.5,167.5,65.2,53.3,2236,1,2,110,0,10,27,9.0,86,17,27,33,7895.0,2,4,1802,0.038461538461538464,582089.2999999999,0.7818181818181819,30.0,223.07692307692307,193.5
0,106.0,4,1,0,1,2,1,0,96.5,167.5,65.2,53.3,2289,1,2,110,0,10,27,9.0,86,17,27,33,9095.0,2,4,1802,0.037570991699432066,582089.2999999999,0.7818181818181819,30.0,217.911751856706,193.5
